;;;EXPIRE DATE;PUT/CALL;STRIKE PRICE;CF BID;CF ASK;IMPLIED VOLTLTY;DELTA;GAMMA;RHO;THETA;VEGA;Time to maturity;;;;;EXPIRE DATE;PUT/CALL;STRiIKE PRICE;CF BID;CF ASK;IMPiLIED VOLTLTY;DELTA;GAMMA;RHO;THETA;VEGA
;;/NDXd1725A7890.U;17/04/2025;C-EU;17890;956.2;1023.8;366.395;0.9251;0.0002;11.828;-213.158;27.445;2;;;;/NDXp1725A7890.U;17/04/2025;P-EU;17890;16.8;18.2;404.534;-0.0516;0.0002;-0.0711;-128.307;18.251
;;/NDXd1725A7900.U;17/04/2025;C-EU;17900;946.9;1013.8;37.673;0.9234;0.0002;11.811;-215.712;27.454;2;;;;/NDXp1725A7900.U;17/04/2025;P-EU;17900;17.3;18.9;403.493;-0.0533;0.0002;-0.0735;-131.591;18.258
;;/NDXd1725A7910.U;17/04/2025;C-EU;17910;936.9;999.3;375.062;0.9214;0.0002;1.179;-219.023;27.463;2;;;;/NDXp1725A7910.U;17/04/2025;P-EU;17910;17.7;19.3;40.323;-0.0543;0.0002;-0.0749;-132.894;18.263
;;/NDXd1725A7920.U;17/04/2025;C-EU;17920;927.9;994.7;378.377;0.9207;0.0002;11.788;-218.799;2.747;2;;;;/NDXp1725A7920.U;17/04/2025;P-EU;17920;17.7;19.4;403.278;-0.0559;0.0002;-0.0771;-135.848;18.269
;;/NDXd1725A7925.U;17/04/2025;C-EU;17925;923.2;990;378.944;0.9165;0.0002;11.733;-229.043;2.748;2;;;;/NDXp1725A7925.U;17/04/2025;P-EU;17925;18.4;20;403.224;-0.0561;0.0002;-0.0774;-135.673;18.271
;;/NDXd1725A7930.U;17/04/2025;C-EU;17930;918.4;985.2;378.266;0.9193;0.0002;11.776;-220.342;27.478;2;;;;/NDXp1725A7930.U;17/04/2025;P-EU;17930;18.6;20.3;40.317;-0.0605;0.0002;-0.0834;-145.825;18.278
;;/NDXd1725A7940.U;17/04/2025;C-EU;17940;909;998.8;378.155;0.9185;0.0002;11.773;-220.117;27.485;2;;;;/NDXp1725A7940.U;17/04/2025;P-EU;17940;19.1;20.8;402.908;-0.0582;0.0002;-0.0803;-139.113;18.281
;;/NDXd1725A7950.U;17/04/2025;C-EU;17950;899.6;966.2;381.308;0.9164;0.0002;11.751;-223.428;27.494;2;;;;/NDXp1725A7950.U;17/04/2025;P-EU;17950;19.6;21.3;40.28;-0.0635;0.0002;-0.0876;-151.073;1.829
;;/NDXd1725A7960.U;17/04/2025;C-EU;17960;889.7;957.2;38.508;0.9156;0.0002;11.746;-223.456;27.501;2;;;;/NDXp1725A7960.U;17/04/2025;P-EU;17960;20.1;21.7;402.848;-0.0612;0.0002;-0.0843;-144.031;18.293
;;/NDXd1725A7970.U;17/04/2025;C-EU;17970;880.8;947.3;388.072;0.914;0.0002;11.732;-225.252;27.509;2;;;;/NDXp1725A7970.U;17/04/2025;P-EU;17970;20.2;22;401.598;-0.0627;0.0002;-0.0865;-146.655;18.299
;;/NDXd1725A7975.U;17/04/2025;C-EU;17975;875.6;937.6;362.383;0.9125;0.0002;11.715;-228.171;27.515;2;;;;/NDXp1725A7975.U;17/04/2025;P-EU;17975;20.3;22.1;400.991;-0.0639;0.0002;-0.0881;-149.123;18.304
;;/NDXd1725A7980.U;17/04/2025;C-EU;17980;870.9;961;369.479;0.9117;0.0002;11.708;-229.069;27.519;2;;;;/NDXp1725A7980.U;17/04/2025;P-EU;17980;20.7;22.4;400.272;-0.0643;0.0002;-0.0886;-149.278;18.306
;;/NDXd1725A7990.U;17/04/2025;C-EU;17990;863.3;923.5;393.592;0.9109;0.0002;11.704;-228.844;27.525;2;;;;/NDXp1725A7990.U;17/04/2025;P-EU;17990;21.3;23.1;39.906;-0.0701;0.0002;-0.0966;-16.289;18.317
;;/NDXd1725A8000.U;17/04/2025;C-EU;18000;854;919.1;392.372;0.915;0.0002;11.769;-213.707;27.514;2;;;;/NDXp1725A8000.U;17/04/2025;P-EU;18000;21.9;23.7;397.848;-0.0718;0.0002;-0.0989;-165.844;18.324
;;/NDXd1725A8010.U;17/04/2025;C-EU;18010;844.6;909.7;390.929;0.9053;0.0002;11.639;-239.256;27.547;2;;;;/NDXp1725A8010.U;17/04/2025;P-EU;18010;22.4;24.1;396.637;-0.0734;0.0002;-0.1012;-168.433;27.495
;;/NDXd1725A8020.U;17/04/2025;C-EU;18020;835.3;900.3;392.628;0.9058;0.0002;11.655;-234.989;27.551;2;;;;/NDXp1725A8020.U;17/04/2025;P-EU;18020;23.6;25.4;395.539;-0.0751;0.0002;-0.1035;-170.233;27.503
;;/NDXd1725A8025.U;17/04/2025;C-EU;18025;830.7;895.6;387.307;0.9047;0.0002;11.642;-236.897;27.556;2;;;;/NDXp1725A8025.U;17/04/2025;P-EU;18025;23.7;25.5;395.046;-0.076;0.0002;-0.1048;-171.385;27.507
;;/NDXd1725A8030.U;17/04/2025;C-EU;18030;824.4;886.1;386.475;0.9041;0.0002;11.639;-237.037;27.559;2;;;;/NDXp1725A8030.U;17/04/2025;P-EU;18030;23.6;25.3;394.553;-0.0726;0.0002;-0.1001;-163.719;18.339
;;/NDXd1725A8040.U;17/04/2025;C-EU;18040;816.8;881.5;38.582;0.9014;0.0003;11.608;-241.864;2.757;2;;;;/NDXp1725A8040.U;17/04/2025;P-EU;18040;24.8;26.7;393.569;-0.0744;0.0002;-0.1026;-166.007;27.517
;;/NDXd1725A8050.U;17/04/2025;C-EU;18050;813.7;863.7;384.829;0.8995;0.0003;11.588;-244.418;27.579;2;;;;/NDXp1725A8050.U;17/04/2025;P-EU;18050;24.9;26.7;392.586;-0.0763;0.0002;-0.1052;-168.312;27.526
;;/NDXd1725A8060.U;17/04/2025;C-EU;18060;806.2;861.8;383.951;0.8979;0.0003;11.574;-245.961;27.587;2;;;;/NDXp1725A8060.U;17/04/2025;P-EU;18060;25.5;27.3;391.715;-0.0784;0.0002;-0.1081;-17.087;27.535
;;/NDXd1725A8070.U;17/04/2025;C-EU;18070;788.6;843.9;384.306;0.8956;0.0003;11.549;-249.525;27.596;2;;;;/NDXp1725A8070.U;17/04/2025;P-EU;18070;26.8;28.8;390.733;-0.0799;0.0002;-0.1102;-172.164;27.543
;;/NDXd1725A8075.U;17/04/2025;C-EU;18075;784.4;841.9;382.804;0.8922;0.0003;11.505;-257.749;27.606;2;;;;/NDXp1725A8075.U;17/04/2025;P-EU;18075;26.6;28.4;390.466;-0.0816;0.0002;-0.1125;-174.832;27.549
;;/NDXd1725A8080.U;17/04/2025;C-EU;18080;779.8;837.3;38.231;0.886;0.0003;11.423;-274.561;27.621;2;;;;/NDXp1725A8080.U;17/04/2025;P-EU;18080;26.9;28.7;389.975;-0.0827;0.0003;-0.114;-176.237;27.554
;;/NDXd1725A8090.U;17/04/2025;C-EU;18090;768;827.3;381.546;0.8978;0.0003;11.595;-237.708;27.602;2;;;;/NDXp1725A8090.U;17/04/2025;P-EU;18090;28.3;30.3;38.933;-0.0839;0.0003;-0.1157;-176.774;27.561
;;/NDXd1725A8100.U;17/04/2025;C-EU;18100;760.4;820.8;381.006;0.8971;0.0003;11.593;-236.473;27.608;2;;;;/NDXp1725A8100.U;17/04/2025;P-EU;18100;28.9;30.6;388.573;-0.0914;0.0003;-0.126;-189.935;27.574
;;/NDXd1725A8110.U;17/04/2025;C-EU;18110;752.4;806.8;380.355;0.9003;0.0003;11.645;-225.386;27.606;2;;;;/NDXp1725A8110.U;17/04/2025;P-EU;18110;29.1;31.6;387.929;-0.0881;0.0003;-0.1215;-181.636;27.579
;;/NDXd1725A8120.U;17/04/2025;C-EU;18120;742.3;797.6;379.816;0.8978;0.0003;11.618;-22.895;27.616;2;;;;/NDXp1725A8120.U;17/04/2025;P-EU;18120;30.7;32.6;387.398;-0.0904;0.0003;-0.1247;-184.447;27.588
;;/NDXd1725A8125.U;17/04/2025;C-EU;18125;737.7;796;379.547;0.8953;0.0003;11.586;-234.142;27.623;2;;;;/NDXp1725A8125.U;17/04/2025;P-EU;18125;30.4;32.2;387.132;-0.0922;0.0003;-0.1271;-187.367;27.594
;;/NDXd1725A8130.U;17/04/2025;C-EU;18130;732.1;790.6;37.939;0.8957;0.0003;11.596;-231.503;27.625;2;;;;/NDXp1725A8130.U;17/04/2025;P-EU;18130;31.5;33.5;386.866;-0.0983;0.0003;-0.1355;-198.618;27.603
;;/NDXd1725A8140.U;17/04/2025;C-EU;18140;725.1;782.3;378.852;0.8941;0.0003;11.581;-232.794;27.633;2;;;;/NDXp1725A8140.U;17/04/2025;P-EU;18140;32.3;34.4;386.447;-0.0949;0.0003;-0.1309;-189.814;27.607
;;/NDXd1725A8150.U;17/04/2025;C-EU;18150;716.1;773.6;377.756;0.8911;0.0003;11.546;-237.621;27.644;2;;;;/NDXp1725A8150.U;17/04/2025;P-EU;18150;33.2;35.3;38.614;-0.1033;0.0003;-0.1424;-205.249;27.623
;;/NDXd1725A8160.U;17/04/2025;C-EU;18160;706.1;760.7;377.442;0.8886;0.0003;1.152;-240.932;27.654;2;;;;/NDXp1725A8160.U;17/04/2025;P-EU;18160;33.3;35.2;385.721;-0.1004;0.0003;-0.1385;-197.455;27.628
;;/NDXd1725A8170.U;17/04/2025;C-EU;18170;696.4;758.4;377.352;0.8766;0.0003;11.359;-270.243;3.823;2;;;;/NDXp1725A8170.U;17/04/2025;P-EU;18170;35;37.1;385.414;-0.1023;0.0003;-0.1411;-199.255;27.636
;;/NDXd1725A8175.U;17/04/2025;C-EU;18175;693.6;747.3;377.084;0.8843;0.0003;11.471;-247.668;2.767;2;;;;/NDXp1725A8175.U;17/04/2025;P-EU;18175;35.5;37.6;385.372;-0.1034;0.0003;-0.1426;-200.407;27.641
;;/NDXd1725A8180.U;17/04/2025;C-EU;18180;689.5;743.9;378.154;0.8838;0.0003;11.467;-247.555;27.673;2;;;;/NDXp1725A8180.U;17/04/2025;P-EU;18180;34.4;37.7;385.331;-0.1048;0.0003;-0.1445;-202.318;27.646
;;/NDXd1725A8190.U;17/04/2025;C-EU;18190;678.7;735.3;376.949;0.8805;0.0003;11.428;-25.314;27.685;2;;;;/NDXp1725A8190.U;17/04/2025;P-EU;18190;36.1;38;385.136;-0.1081;0.0003;-0.1491;-207.401;27.658
;;/NDXd1725A8200.U;17/04/2025;C-EU;18200;671;725.1;376.859;0.8719;0.0003;11.316;-269.416;38.259;2;;;;/NDXp1725A8200.U;17/04/2025;P-EU;18200;37;39.2;384.198;-0.1166;0.0003;-0.1609;-223.594;27.675
;;/NDXd1725A8210.U;17/04/2025;C-EU;18210;666.6;715.6;376.298;0.8743;0.0003;11.357;-260.571;3.826;2;;;;/NDXp1725A8210.U;17/04/2025;P-EU;18210;38;40;382.829;-0.1138;0.0003;-0.157;-215.295;2.768
;;/NDXd1725A8220.U;17/04/2025;C-EU;18220;657.7;711;375.012;0.8725;0.0003;11.339;-260.676;3.827;2;;;;/NDXp1725A8220.U;17/04/2025;P-EU;18220;39.9;42.2;38.146;-0.1221;0.0003;-0.1684;-230.766;38.246
;;/NDXd1725A8225.U;17/04/2025;C-EU;18225;647.5;702.8;374.281;0.8652;0.0003;11.241;-274.629;38.289;2;;;;/NDXp1725A8225.U;17/04/2025;P-EU;18225;40.5;42.7;38.082;-0.1235;0.0003;-0.1704;-231.961;38.252
;;/NDXd1725A8230.U;17/04/2025;C-EU;18230;648.9;701.7;373.726;0.8697;0.0003;11.308;-262.876;38.282;2;;;;/NDXp1725A8230.U;17/04/2025;P-EU;18230;40.1;42.2;38.018;-0.1186;0.0003;-0.1636;-220.915;27.699
;;/NDXd1725A8240.U;17/04/2025;C-EU;18240;639.7;692.6;372.529;0.8664;0.0004;1.127;-266.027;38.296;2;;;;/NDXp1725A8240.U;17/04/2025;P-EU;18240;42.1;44.4;378.988;-0.1281;0.0004;-0.1768;-235.736;38.271
;;/NDXd1725A8250.U;17/04/2025;C-EU;18250;630.9;682;371.421;0.8634;0.0004;11.235;-268.608;38.308;2;;;;/NDXp1725A8250.U;17/04/2025;P-EU;18250;43.3;45.6;377.797;-0.1243;0.0004;-0.1715;-226.938;38.278
;;/NDXd1725A8260.U;17/04/2025;C-EU;18260;616.7;675;370.313;0.8604;0.0004;11.201;-270.997;38.321;2;;;;/NDXp1725A8260.U;17/04/2025;P-EU;18260;43.4;45.6;376.695;-0.1347;0.0004;-0.1858;-241.468;38.298
;;/NDXd1725A8270.U;17/04/2025;C-EU;18270;609.8;663.9;36.938;0.8573;0.0004;11.165;-273.578;38.334;2;;;;/NDXp1725A8270.U;17/04/2025;P-EU;18270;44.7;46.8;375.593;-0.1376;0.0004;-0.1899;-243.667;3.831
;;/NDXd1725A8275.U;17/04/2025;C-EU;18275;606.4;659.5;368.827;0.8557;0.0004;11.147;-274.963;3.834;2;;;;/NDXp1725A8275.U;17/04/2025;P-EU;18275;45.2;47.4;375.043;-0.1331;0.0004;-0.1836;-235.007;38.313
;;/NDXd1725A8280.U;17/04/2025;C-EU;18280;601.1;654.8;368.362;0.8538;0.0004;11.124;-27.711;38.348;2;;;;/NDXp1725A8280.U;17/04/2025;P-EU;18280;46.8;49.3;37.458;-0.1415;0.0004;-0.1952;-24.758;38.325
;;/NDXd1725A8290.U;17/04/2025;C-EU;18290;596.1;644.5;367.518;0.8505;0.0004;11.085;-280.071;38.361;2;;;;/NDXp1725A8290.U;17/04/2025;P-EU;18290;48.1;50.5;373.654;-0.1368;0.0004;-0.1888;-236.688;3.833
;;/NDXd1725A8300.U;17/04/2025;C-EU;18300;583.7;639;367.373;0.8473;0.0004;11.048;-282.842;38.374;2;;;;/NDXp1725A8300.U;17/04/2025;P-EU;18300;48.3;50.8;372.729;-0.1479;0.0004;-0.2041;-252.741;38.351
;;/NDXd1725A8310.U;17/04/2025;C-EU;18310;579;629.6;NULL;0.8437;0.0004;11.007;-286.184;38.388;2;;;;/NDXp1725A8310.U;17/04/2025;P-EU;18310;49.6;51.9;NULL;-0.1446;0.0004;-0.1995;-244.323;38.359
;;/NDXd1725A8320.U;17/04/2025;C-EU;18320;574.9;610.8;NULL;0.8405;0.0004;10.968;-288.954;38.402;2;;;;/NDXp1725A8320.U;17/04/2025;P-EU;18320;51;53.2;NULL;-0.1481;0.0004;-0.2044;-247.284;38.373
;;/NDXd1725A8325.U;17/04/2025;C-EU;18325;567.4;603.5;365.486;0.8387;0.0004;10.948;-29.053;38.408;2;;;;/NDXp1725A8325.U;17/04/2025;P-EU;18325;52.9;55.3;370.769;-0.157;0.0004;-0.2167;-261.191;38.387
;;/NDXd1725A8330.U;17/04/2025;C-EU;18330;566.3;602.2;NULL;0.8332;0.0004;10.874;-301.246;38.424;2;;;;/NDXp1725A8330.U;17/04/2025;P-EU;18330;52.3;54.6;NULL;-0.1517;0.0004;-0.2094;-250.436;38.387
;;/NDXd1725A8340.U;17/04/2025;C-EU;18340;557.7;593.7;NULL;0.8249;0.0004;10.766;-316.774;38.449;2;;;;/NDXp1725A8340.U;17/04/2025;P-EU;18340;53.7;56;NULL;-0.1554;0.0004;-0.2145;-253.778;38.401
;;/NDXd1725A8350.U;17/04/2025;C-EU;18350;546;582.1;364.038;0.8315;0.0004;10.866;-294.791;38.439;2;;;;/NDXp1725A8350.U;17/04/2025;P-EU;18350;55.2;57.5;369.161;-0.1593;0.0004;-0.2199;-257.501;38.416
;;/NDXd1725A8360.U;17/04/2025;C-EU;18360;540.7;576.6;NULL;0.8238;0.0004;10.766;-308.225;38.463;2;;;;/NDXp1725A8360.U;17/04/2025;P-EU;18360;56.8;59;NULL;-0.1631;0.0004;-0.2251;-260.843;3.843
;;/NDXd1725A8370.U;17/04/2025;C-EU;18370;532.2;567.5;NULL;0.8191;0.0004;10.708;-314.423;3.848;2;;;;/NDXp1725A8370.U;17/04/2025;P-EU;18370;58.2;60.5;NULL;-0.167;0.0005;-0.2305;-264.375;38.445
;;/NDXd1725A8375.U;17/04/2025;C-EU;18375;528;563.3;363.637;0.814;0.0004;1.064;-324.948;38.494;2;;;;/NDXp1725A8375.U;17/04/2025;P-EU;18375;60.2;62.8;367.991;-0.1682;0.0005;-0.2321;-264.427;3.845
;;/NDXd1725A8380.U;17/04/2025;C-EU;18380;523.8;559;NULL;0.8121;0.0005;10.617;-326.905;38.502;2;;;;/NDXp1725A8380.U;17/04/2025;P-EU;18380;59.7;62.1;NULL;-0.1709;0.0005;-0.2359;-268.098;3.846
;;/NDXd1725A8390.U;17/04/2025;C-EU;18390;515.4;550.6;NULL;0.808;0.0005;10.568;-32.999;4.902;2;;;;/NDXp1725A8390.U;17/04/2025;P-EU;18390;61.5;63.6;NULL;-0.1752;0.0005;-0.2419;-272.582;38.475
;;/NDXd1725A8400.U;17/04/2025;C-EU;18400;507.1;542.2;362.976;0.8074;0.0005;10.569;-319.675;49.013;2;;;;/NDXp1725A8400.U;17/04/2025;P-EU;18400;63;65.4;367.171;-0.1871;0.0005;-0.2584;-291.492;38.499
;;/NDXd1725A8410.U;17/04/2025;C-EU;18410;498.7;533.9;NULL;0.8002;0.0005;10.475;-333.112;49.052;2;;;;/NDXp1725A8410.U;17/04/2025;P-EU;18410;64.6;66.9;NULL;-0.1835;0.0005;-0.2533;-280.599;38.506
;;/NDXd1725A8420.U;17/04/2025;C-EU;18420;490.5;525.6;NULL;0.7962;0.0005;10.426;-334.817;49.069;2;;;;/NDXp1725A8420.U;17/04/2025;P-EU;18420;66.3;68.7;NULL;-0.1877;0.0005;-0.2592;-284.893;38.521
;;/NDXd1725A8425.U;17/04/2025;C-EU;18425;483.3;519.3;361.255;0.7982;0.0005;10.458;-327.187;49.068;2;;;;/NDXp1725A8425.U;17/04/2025;P-EU;18425;67.4;69.5;364.915;-0.1896;0.0005;-0.2617;-286.278;38.528
;;/NDXd1725A8430.U;17/04/2025;C-EU;18430;482.2;517.5;NULL;0.7921;0.0005;10.376;-336.665;49.086;2;;;;/NDXp1725A8430.U;17/04/2025;P-EU;18430;68.3;70.4;NULL;-0.1922;0.0005;-0.2654;-288.194;49.046
;;/NDXd1725A8440.U;17/04/2025;C-EU;18440;474;509.3;NULL;0.7878;0.0005;10.324;-338.657;49.103;2;;;;/NDXp1725A8440.U;17/04/2025;P-EU;18440;70;72.4;NULL;-0.1963;0.0005;-0.2711;-289.464;49.063
;;/NDXd1725A8450.U;17/04/2025;C-EU;18450;465.9;501.2;357.871;0.7872;0.0005;10.324;-332.599;49.111;2;;;;/NDXp1725A8450.U;17/04/2025;P-EU;18450;71.9;74.3;361.396;-0.2007;0.0005;-0.2771;-291.166;4.908
;;/NDXd1725A8460.U;17/04/2025;C-EU;18460;457.8;493.1;NULL;0.7791;0.0005;10.218;-342.929;49.138;2;;;;/NDXp1725A8460.U;17/04/2025;P-EU;18460;73.7;76.2;NULL;-0.2057;0.0005;-0.2841;-294.162;49.099
;;/NDXd1725A8470.U;17/04/2025;C-EU;18470;450.2;485.4;NULL;0.7762;0.0005;10.186;-341.471;49.151;2;;;;/NDXp1725A8470.U;17/04/2025;P-EU;18470;75.8;78.1;NULL;-0.2105;0.0005;-0.2908;-296.582;49.117
;;/NDXd1725A8475.U;17/04/2025;C-EU;18475;445.7;481;35.479;0.7761;0.0005;10.188;-337.867;49.155;2;;;;/NDXp1725A8475.U;17/04/2025;P-EU;18475;77.5;80.2;358.327;-0.221;0.0005;-0.3053;-309.252;49.132
;;/NDXd1725A8480.U;17/04/2025;C-EU;18480;442.1;477.3;NULL;0.7737;0.0005;10.158;-33.915;49.164;2;;;;/NDXp1725A8480.U;17/04/2025;P-EU;18480;77.6;80.1;NULL;-0.2152;0.0005;-0.2972;-298.571;49.135
;;/NDXd1725A8490.U;17/04/2025;C-EU;18490;433.7;458.3;NULL;0.7653;0.0005;10.049;-35.02;49.191;2;;;;/NDXp1725A8490.U;17/04/2025;P-EU;18490;79.7;82.1;NULL;-0.2201;0.0006;-0.304;-301.135;49.153
;;/NDXd1725A8500.U;17/04/2025;C-EU;18500;425.8;461.1;352.083;0.7606;0.0005;0.999;-352.767;49.209;2;;;;/NDXp1725A8500.U;17/04/2025;P-EU;18500;83.1;85.9;355.633;-0.2335;0.0006;-0.3225;-316.094;49.179
;;/NDXd1725A8510.U;17/04/2025;C-EU;18510;432.6;437.5;NULL;0.7555;0.0006;0.9926;-35.634;49.228;2;;;;/NDXp1725A8510.U;17/04/2025;P-EU;18510;83.8;86.6;NULL;-0.2306;0.0006;-0.3186;-30.727;49.192
;;/NDXd1725A8520.U;17/04/2025;C-EU;18520;424.7;429.7;NULL;0.7505;0.0006;0.9864;-359.483;49.247;2;;;;/NDXp1725A8520.U;17/04/2025;P-EU;18520;85.9;88.7;NULL;-0.2357;0.0006;-0.3256;-309.834;49.211
;;/NDXd1725A8525.U;17/04/2025;C-EU;18525;418;422.6;349.898;0.751;0.0006;0.9876;-353.434;49.249;2;;;;/NDXp1725A8525.U;17/04/2025;P-EU;18525;86.6;89.3;353.387;-0.2385;0.0006;-0.3294;-311.692;49.221
;;/NDXd1725A8530.U;17/04/2025;C-EU;18530;416.9;421.9;NULL;0.7455;0.0006;0.9802;-362.481;49.266;2;;;;/NDXp1725A8530.U;17/04/2025;P-EU;18530;88;90.9;NULL;-0.2411;0.0006;-0.3331;-313.261;49.231
;;/NDXd1725A8540.U;17/04/2025;C-EU;18540;409.4;414.1;NULL;0.7403;0.0006;0.9736;-366.198;49.285;2;;;;/NDXp1725A8540.U;17/04/2025;P-EU;18540;90.3;93.2;NULL;-0.2463;0.0006;-0.3403;-315.969;4.925
;;/NDXd1725A8550.U;17/04/2025;C-EU;18550;398.7;403.3;348.011;0.7446;0.0006;0.9807;-34.49;49.281;2;;;;/NDXp1725A8550.U;17/04/2025;P-EU;18550;92.5;95.5;351.513;-0.2511;0.0006;-0.347;-317.671;49.268
;;/NDXd1725A8560.U;17/04/2025;C-EU;18560;394;398.8;NULL;0.7299;0.0006;0.9608;-372.914;49.324;2;;;;/NDXp1725A8560.U;17/04/2025;P-EU;18560;95;97.9;NULL;-0.2576;0.0006;-0.356;-323.398;4.929
;;/NDXd1725A8570.U;17/04/2025;C-EU;18570;386.5;391.2;NULL;0.7247;0.0006;0.9542;-376.488;49.343;2;;;;/NDXp1725A8570.U;17/04/2025;P-EU;18570;97.2;100.3;NULL;-0.2633;0.0006;-0.3638;-326.969;49.311
;;/NDXd1725A8575.U;17/04/2025;C-EU;18575;379.1;383.7;346.643;0.7245;0.0006;0.9544;-371.158;49.347;2;;;;/NDXp1725A8575.U;17/04/2025;P-EU;18575;99.8;104.3;350.158;-0.2745;0.0006;-0.3794;-34.309;49.328
;;/NDXd1725A8580.U;17/04/2025;C-EU;18580;379;383.5;NULL;0.7193;0.0006;0.9475;-37.767;57.946;2;;;;/NDXp1725A8580.U;17/04/2025;P-EU;18580;99.9;102.8;NULL;-0.269;0.0006;-0.3717;-330.683;49.331
;;/NDXd1725A8590.U;17/04/2025;C-EU;18590;371.5;376.1;NULL;0.7139;0.0006;0.9407;-378.195;57.967;2;;;;/NDXp1725A8590.U;17/04/2025;P-EU;18590;102.2;105.3;NULL;-0.2745;0.0006;-0.3793;-333.822;49.351
;;/NDXd1725A8600.U;17/04/2025;C-EU;18600;364.4;369.2;345.719;0.7122;0.0006;0.9396;-359.638;57.959;2;;;;/NDXp1725A8600.U;17/04/2025;P-EU;18600;104.8;107.9;349.246;-0.2806;0.0007;-0.3879;-336.383;57.958
;;/NDXd1725A8610.U;17/04/2025;C-EU;18610;356.7;361.3;NULL;0.7027;0.0006;0.9265;-379.583;5.801;2;;;;/NDXp1725A8610.U;17/04/2025;P-EU;18610;107.6;110.5;NULL;-0.2864;0.0007;-0.3959;-336.791;57.979
;;/NDXd1725A8620.U;17/04/2025;C-EU;18620;349.4;354;NULL;0.6969;0.0006;0.9192;-380.445;58.031;2;;;;/NDXp1725A8620.U;17/04/2025;P-EU;18620;110.4;113.2;NULL;-0.2927;0.0007;-0.4047;-338.212;58.002
;;/NDXd1725A8625.U;17/04/2025;C-EU;18625;345.8;350.4;343.557;0.6943;0.0006;0.916;-380.088;58.041;2;;;;/NDXp1725A8625.U;17/04/2025;P-EU;18625;111.8;114.7;346.892;-0.2957;0.0007;-0.4088;-339.129;58.015
;;/NDXd1725A8630.U;17/04/2025;C-EU;18630;342.2;346.8;NULL;0.6911;0.0006;0.9119;-381.308;58.053;2;;;;/NDXp1725A8630.U;17/04/2025;P-EU;18630;112.9;116;NULL;-0.2986;0.0007;-0.4128;-33.922;58.026
;;/NDXd1725A8640.U;17/04/2025;C-EU;18640;335;339.6;NULL;0.6851;0.0007;0.9043;-382.509;58.076;2;;;;/NDXp1725A8640.U;17/04/2025;P-EU;18640;115.7;118.8;NULL;-0.305;0.0007;-0.4217;-340.641;58.049
;;/NDXd1725A8650.U;17/04/2025;C-EU;18650;324.6;332.4;339.929;0.6812;0.0007;0.8998;-377.626;58.092;2;;;;/NDXp1725A8650.U;17/04/2025;P-EU;18650;120.5;123.6;343.139;-0.3105;0.0007;-0.4293;-339.696;5.807
;;/NDXd1725A8660.U;17/04/2025;C-EU;18660;320.7;325.3;NULL;0.6729;0.0007;0.8887;-385.136;58.121;2;;;;/NDXp1725A8660.U;17/04/2025;P-EU;18660;121.6;124.6;NULL;-0.3178;0.0007;-0.4394;-342.807;58.095
;;/NDXd1725A8670.U;17/04/2025;C-EU;18670;313.7;318.3;NULL;0.6666;0.0007;0.8808;-386.562;58.144;2;;;;/NDXp1725A8670.U;17/04/2025;P-EU;18670;124.4;127.6;NULL;-0.3245;0.0007;-0.4487;-344.567;58.119
;;/NDXd1725A8675.U;17/04/2025;C-EU;18675;310.9;315.6;336.713;0.6636;0.0007;0.8769;-386.993;58.155;2;;;;/NDXp1725A8675.U;17/04/2025;P-EU;18675;128.1;131.6;339.935;-0.3271;0.0007;-0.4523;-343.418;58.129
;;/NDXd1725A8680.U;17/04/2025;C-EU;18680;306.9;311.4;NULL;0.6603;0.0007;0.8727;-388.214;58.167;2;;;;/NDXp1725A8680.U;17/04/2025;P-EU;18680;127.4;130.6;NULL;-0.3312;0.0007;-0.4581;-346.326;58.144
;;/NDXd1725A8690.U;17/04/2025;C-EU;18690;300;304.5;NULL;0.6539;0.0007;0.8645;-389.978;5.819;2;;;;/NDXp1725A8690.U;17/04/2025;P-EU;18690;130.7;133.8;NULL;-0.338;0.0007;-0.4675;-347.972;58.168
;;/NDXd1725A8700.U;17/04/2025;C-EU;18700;290.6;294.6;333.977;0.649;0.0007;0.8586;-386.221;58.209;2;;;;/NDXp1725A8700.U;17/04/2025;P-EU;18700;135.9;139.2;337.143;-0.3442;0.0007;-0.4761;-347.929;58.191
;;/NDXd1725A8725.U;17/04/2025;C-EU;18725;276.9;281.6;331.719;0.627;0.0007;0.8299;-392.843;58.264;2;;;;/NDXp1725A8725.U;17/04/2025;P-EU;18725;141.2;145.3;334.897;-0.3623;0.0008;-0.5012;-354.805;58.254
;;/NDXd1725A8750.U;17/04/2025;C-EU;18750;257.3;261.4;32.987;0.6151;0.0007;0.8151;-394.474;63.191;2;;;;/NDXp1725A8750.U;17/04/2025;P-EU;18750;153.1;156.9;333.059;-0.3886;0.0008;-0.5378;-369.817;63.179
;;/NDXd1725A8775.U;17/04/2025;C-EU;18775;242.1;245.8;328.632;0.5972;0.0008;0.7919;-392.263;63.255;2;;;;/NDXp1725A8775.U;17/04/2025;P-EU;18775;159.7;163.2;331.697;-0.3992;0.0008;-0.5526;-359.151;63.244
;;/NDXd1725A8800.U;17/04/2025;C-EU;18800;229;232.8;327.198;0.5728;0.0008;0.76;-388.975;63.315;2;;;;/NDXp1725A8800.U;17/04/2025;P-EU;18800;169;173;330.275;-0.4261;0.0008;-0.5901;-366.531;63.313
